A.J. Applegate
Robert M. Douglas
Robert McCulloch
Robert Moor
Robert Murzeau
Robert Oliveri
Robert Party
Robert Rendel
Robert Seller
Robert Shatterell
Robert Vahey
Robert Vallis
Robert Vattier
Roberta Gemma
Roberto Cabral del Hoyo
Roberto Malone
Robin Brockway
Robin Byrd
Robin Irvine
Robin Langford
Robyn Semien
Rocco Siffredi
Xavier Boulanger
Xavier Gélin
Xavier Saint-Macary
Yagya Bhasin
Nobuaki Sekine
Nobuko Miyamoto
Nobuyuki Kobushi
Noel Coleman
Noel Leung
Noname Jane
Noom Diawara
Norah Gorsen
Norah Howard
Noriko Eguchi
Noriko Hayami
Noriko Higashide
Noriko Iriyama
Noriko Nakagoshi
Noriko Ogawa
Noriko Rikimaru
Noriko Tatsumi
Noriko Uemura
Noriko Watanabe
Norito Yashima
Norma West
Norman Budd
Norman Chappell
Norman Ettlinger
Norman Evans
Norman Page
Norman Pierce
Oaklee Pendergast
Oceania television network
Ofo Uhiara
Oga Bello
Pippa Hinchley
Popeck
Poppy Morgan
Porsche Lynn
Pragya Yadav
Pranav Mohanlal
Pratap Pothen
Primi Townsend
Prince Yahshua
Princess Donna
Rex Davis
Rex McDougall
Rex O'Malley
Rhonda Jo Petty
Rhys Stephenson
Rich Fisher
Richard Ainley
Richard Bird
Richard Caldicot
Richard Cant
Richard Cooper
Richard Cowley
Richard Cross
Richard Cunningham
Richard Diggs
Richard Dolman
Richard Estcourt
Richard Graham
Ron Hightower
Ron Jeremy
Ronald Ward
Ronny Jhutti
Rosalind Ayres
Rosalind Bailey
Rosalind Halstead
Rosalind Ivan
Rosalind Shanks
Rosalyn Boulter
Rosanna Carter
Rosanna Lavelle
Rose Alba
Rose Siggins
Rose Stradner
Rose Vestris
Rosemary Dempsey
Rosemary Martin
Rosette
Rosine Luguet
Sabine Sun
Sabrina Ouazani
Saburo Ishikura
Saburo Kamei
Saburō Tokitō
Sacha Alexander
Sacha Briquet
Sacha Pitoëff
Sachi Kokuryu
Sachiko Kokubu
Sae Isshiki
Saharul Ridzwan
Said Bey
Sandayū Dokumamushi
Sandra Achums
Sandra Payne
Sandrine Kiberlain
Sanji Hase
Sanna Bråding
Sanya Malhotra
Saori Hara
Saori Ono
Saori Sugimoto
Saphia Azzeddine
Sapna Pabbi
Sara Ballingall
Sara Nakayama
Sara Sommerfeld
Sara Tommasi
Sarah-Jane Gwillim
Sarah-Jane Potts
Sarah Craze
Sarah Jurgens
Terry Kiely
Terry MacTavish
Terry Scully
Terry Walsh
Terumi Niki
Teruyuki Kagawa
Tetsu Shiratori
Tetsuo Narikawa
Tetsushi Tanaka
Tetsuya Bessho
Tetsuya Fujita
Tetsuya Iwanaga
Tricia Devereaux
Troy Titus-Adams
Tsering Dorjee
Tsubasa Akimoto
Tsubasa Otomiya
Tsugumi Higasayama
Tsuguo Mogami
Tsurutaro Kataoka
Tsutomu Kashiwakura
Tsutomu Yamazaki
Tsuyoshi Koyama
Tucker McGuire
Tutta Rolf
Twins
Ulf Brunnberg
Ulf Eklund
Ulf Hasseltorp
Ulf Johanson
Ulf Larsson
Ulf Palme
Ulla Akselson
Ulla Sallert
Ulla Sjöblom
Ulla Skoog
Umeka Shōji
Umewaka Minoru I
Umi Tenjin
United Nations
Uno Henning
Venus Lux
Vera Allinson
Vera Bogetti
Vera Cornish
Vera Day
Vera Vitali
Veronica Hart
Veronica Rose
Verónica Rodríguez
Vi Kaley
Vicci Laine
Véronique Jannot
Véronique Nordey
W.B. Brydon
Wade Nichols
Wagner Moura
Waka Inoue
Wakana Matsumoto
Wallace Bosco
Wallace Geoffrey
Wallace Lupino
Wendy Williams
Wesley Pipes
West Digges
Weyler Hildebrand
Angela Au Man Sze
adult
voice actor
Gary Yang
Rio Peng
starring
Ariel Award
Gemini Award
Golden Calf Award
Golden Raspberry Award
IFTA Award
Laurence Olivier Award
NAACP Image Award
National Film Award
Screen Actors Guild Award
