Eddie Dunn
Eddie Foy III
Eddie Foy Sr.
Eddie Gribbon
Eddie Kaye Thomas
Eddie Lawrence
Eddie Marrero
Eddie Murphy
Eddie Pepitone
Edgar Allan Woolf
Edgar Barrier
Edmond O'Brien
Edmund Breese
Edmund Milton Holland
Edoardo Ballerini
Edward Arnold
Edward Brophy
Edward Burns
Edward Connelly
Edward Dillon
Edward Everett Horton
Edward G. Robinson
Edward Gargan
Edward Keane
Edward Nugent
Edward Platt
Edwin Arden
Efrem Zimbalist Jr.
Ernő Verebes
Esai Morales
Ethan Cohn
Ethan Hawke
Ethan Slater
Ethan Suplee
Eugène Green
Evan Handler
Evan Parke
Everett Sloane
Faceboy
Firdous Bamji
Flex Alexander
Flip Mark
Ford Rainey
Hugh Fay
Hugh Herbert
Hugh Hurd
Hugh McPhillips
Hugh O'Connell
Hughie Mack
Humphrey Bogart
Hurd Hatfield
Jabari Brisport
Jace Alexander
Jack Carter
Jack Cassidy
Jack Curtis
Jack Dean
Jack La Rue
Jack Lambert
Jack Lord
Jack Manning
Jack McGee
Jack Mercer
Jack Messina
Jack Nicholson
Jack Pearl
Jack Richardson
Jack Scalia
Jack Schlossberg
Jackie Gleason
Jackie Kelk
Jackie Vernon
Jackson Beck
Jacob Wendell
Jacques Jaccard
Jaiden Kaine
Jake Cannavale
Jake Choi
Jake Goldberg
Jake Hurwitz
Jake Lucas
Jake Smollett
Jake T. Austin
Jamal Woolard
James Badge Dale
James Burke
James Caan
James Cagney
James Coco
James Cromwell
James Drury
James Dunn
James Farentino
James Gandolfini
James Gleason
James Handy
James Hayden
James Henry Hackett
James Hiroyuki Liao
James Komack
James Kyson
James Luisi
Jared Cohn
Jason A. Rodriguez
Jason Beghe
Jason Evers
Jason Fuchs
Jason Gould
Jason Miller
Jason Patric
Jason R. Moore
Jason Stuart
Jason Wingreen
Jason Woliner
Jason Zimbler
Jay Adler
Jay Belasco
Jay Lawrence
Jay Paulson
Jay Robinson
Jeremy Luke
Jeremy Piven
Jeremy Shamos
Jermaine Crawford
Jerome Cowan
Jerry Adler
Jerry Ferrara
Jerry O'Connell
Jerry Orbach
Jerry Seinfeld
Jerry Stiller
Jesse Eisenberg
Jessie Lawrence Ferguson
Jharrel Jerome
Jim Brochu
Jim Titus
Jim Tooey
Jimmie Walker
Jimmy Baio
Jimmy Kimmel
Jimmy Rogers
Jimmy Smits
Joe Bonomo
Joe Brown
Joe Dallesandro
Joe De Santis
Joe Devlin
Joe Downing
Joe E. Ross
Joe Kirk
Joe Lo Truglio
Joe Mantell
Joe Morton
Joe Palma
Joe Penner
Joe Regalbuto
Joe Rubbo
Joe Santos
Joe Silver
Joe Spinell
Joe Turkel
Joe Viterelli
Joel Brooks
Joel Chasnoff
Keenan Wynn
Keenen Ivory Wayans
Keith Andes
Keith David
Keith Gordon
Kelsey Grammer
Ken Lerner
Ken Leung
Ken Murray
Ken Roberts
Kenneth Casey
Kenneth Marshall
Kenneth McMillan
Milo O'Shea
Milton Berle
Monte Collins
Morey Amsterdam
Morgan Paull
Mos Def
Moshe Kasher
RZA
Radames Pera
Radamiz
Radio Man
Raphael De Niro
Raphael Sbarge
Ray Buktenica
Ray Santiago
Ray Sharkey
Ray Vitte
Raymond Allen
Raymond Hackett
Raymond Walburn
Raúl Castillo
Sal Mineo
Sal Viscuso
Salem Ludwig
Sam Behrens
Sam Jaffe
Ty Hardin
Ty Simpkins
Tyler Alvarez
Tzi Ma
Crispin Freeman
Crispin Glover
Cuba Gooding Jr.
Curly Howard
Curt Dawson
Curtis McClarin
KRS-One
Kadeem Hardison
LL Cool J
Larkin Malloy
Larry B. Scott
Larry Block
Larry David
Larry Fessenden
Larry Gelman
Larry Hankin
Larry J. Blake
Larry King
Larry Marshall
Larry Siegel
Larry Storch
Larry Thomas
Lucas Hedges
Lucien Prival
Luis Guzmán
Macaulay Culkin
Marty Grabstein
Marty Ingels
Marvin Kaplan
Mase
Masi Oka
Mason Adams
Oz Perkins
P. J. Brennan
Skylar Astin
Timothy Carey
Timothée Chalamet
Todd Graff
Todd Phillips
Todd Williams
Will Lee
Will Peltz
Will Roland
Will Rothhaar
Willard Parker
William "Stage" Boyd
William A. Carroll
William Beaudine
William Bendix
William Bogert
William Boyett
William Bronder
William Castle
William Collier Jr.
William Daniels
William DeMeo
William Desmond
William Finley
William Forsythe
William Gargan
William H. Tooker
William Haade
William Hickey
William Hopper
William Janney
William Johnstone
Greg Abbey
Greg Antonacci
Greg Lauren
Greg Salata
Greg Scarnici
Greg Serano
Gregg Barton
Gregg Daniel
Gregory Diaz IV
Gregory Hines
Gregory Sierra
Gregory Siff
Griffin Dunne
Griffin Newman
Groucho Marx
